City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
612,Bryant,US,281.15,overcast clouds,34.5959,-92.4891,La Quinta Inn & Suites by Wyndham Little Rock - Bryant
616,Banepa,NP,289.33,scattered clouds,27.6298,85.5214,Dhulikhel Lodge Resort
618,Guaraniacu,BR,285.72,clear sky,-25.1008,-52.8781,Dalla´s Hotel
622,Husyatyn,UA,271.76,overcast clouds,49.0726,26.2141,Hotelʹ Zbruch
623,Chernyshevskiy,RU,249.62,overcast clouds,63.0128,112.4714,Chernyseyskiy
624,Abda,HU,274.36,light snow,47.6946,17.5449,Hotel Bavaria
625,Gravdal,NO,269.09,few clouds,68.1214,13.5031,Skreda Rorbusuiter
627,Namie,JP,284.8,overcast clouds,37.4833,141.0,いこいの村なみえ
628,Kiliya,UA,274.54,overcast clouds,45.4552,29.2637,Limanul Resort
630,Haines Junction,CA,255.45,overcast clouds,60.7522,-137.5108,Parkside Inn
632,Otautau,NZ,286.17,overcast clouds,-46.15,168.0,Otautau Hotel
634,Karasjok,NO,259.21,overcast clouds,69.4719,25.5112,Karasjok camping AS
637,Krasnyy Chikoy,RU,266.98,overcast clouds,50.3643,108.7512,Persona
638,San Julian,MX,286.45,clear sky,21.0167,-102.1667,La Nueva España
639,Ginda,IN,288.62,clear sky,30.6945,78.4932,Bal uma sankar hotel and restaurant
640,Kjollefjord,NO,267.18,scattered clouds,70.9457,27.3465,Hotel Nordkyn
641,Ponta Delgada,PT,288.43,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
644,Kurilsk,RU,275.2,clear sky,45.2333,147.8833,Hotel Ostrov
645,Sakaiminato,JP,286.91,scattered clouds,35.55,133.2333,味処・民宿 まつや
646,Mackenzie,CA,261.41,overcast clouds,55.2999,-123.1698,Hilton Shop
647,Floro,NO,277.57,clear sky,61.5996,5.0328,Kinn Hotell Florø
649,Kirov,RU,272.01,light snow,58.5966,49.6601,Art Hotel
650,Uyuni,BO,283.91,light rain,-20.4597,-66.825,Hostal La Magia de Uyuni
651,Socorro,US,289.21,broken clouds,31.6546,-106.3033,guarderia imss papalote
652,Salsomaggiore Terme,IT,275.2,overcast clouds,44.8148,9.9796,Hotel Ferrari
653,Scarborough,GB,277.54,scattered clouds,54.2797,-0.4044,The Grand Hotel Scarborough
657,Darhan,MN,265.01,overcast clouds,49.4867,105.9228,Buudai Hotel
662,Tucumcari,US,284.79,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
