City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
105,Ribeira Grande,PT,2021-12-09 05:52:00,38.5167,-28.7,289.98,67,99,2.74,overcast clouds
106,Airai,TL,2021-12-09 05:52:02,-8.9266,125.4092,293.1,84,76,0.8,broken clouds
107,Yellowknife,CA,2021-12-09 05:48:53,62.456,-114.3525,256.64,89,90,3.6,light snow
108,Logan,US,2021-12-09 05:52:02,41.7355,-111.8344,280.66,67,100,0.89,overcast clouds
109,Skjervoy,NO,2021-12-09 05:52:06,70.0311,20.9714,266.37,72,3,5.59,clear sky
110,Quelimane,MZ,2021-12-09 05:52:08,-17.8786,36.8883,302.12,83,75,1.34,broken clouds
111,Kodinsk,RU,2021-12-09 05:52:09,58.6881,99.1844,255.86,89,94,3.83,overcast clouds
112,Codrington,AU,2021-12-09 05:52:10,-38.2667,141.9667,288.69,53,63,7.13,broken clouds
113,Kusu,JP,2021-12-09 05:52:11,33.2831,131.1514,288.71,46,14,0.97,few clouds
114,Puerto Ayora,EC,2021-12-09 05:52:13,-0.7393,-90.3518,294.01,93,60,0.45,broken clouds
115,Cherskiy,RU,2021-12-09 05:52:14,68.75,161.3,232.43,98,100,2.04,overcast clouds
116,Arraial Do Cabo,BR,2021-12-09 05:51:13,-22.9661,-42.0278,294.31,83,22,7.98,few clouds
117,Vanavara,RU,2021-12-09 05:52:17,60.34,102.2797,252.57,93,94,4.25,overcast clouds
118,Bileca,BA,2021-12-09 05:52:19,42.8719,18.4297,283.08,95,100,5.63,overcast clouds
119,Verkhniy Fiagdon,RU,2021-12-09 05:52:20,42.8333,44.3053,273.52,78,100,2.14,overcast clouds
120,Santa Rosa De Aguan,HN,2021-12-09 05:52:22,15.95,-85.7167,298.19,84,97,4.03,overcast clouds
121,Baghmara,IN,2021-12-09 05:52:23,23.795,86.2085,299.98,32,8,1.96,clear sky
122,Hithadhoo,MV,2021-12-09 05:52:24,-0.6,73.0833,300.88,76,99,4.68,overcast clouds
123,Zhezkazgan,KZ,2021-12-09 05:52:26,47.8043,67.7144,260.14,72,0,6.0,clear sky
124,Hofn,IS,2021-12-09 05:52:27,64.2539,-15.2082,278.65,86,100,9.98,light rain
125,Filadelfia,US,2021-12-09 05:52:28,39.9523,-75.1638,276.29,58,90,1.79,overcast clouds
126,Isangel,VU,2021-12-09 05:52:29,-19.55,169.2667,301.47,76,49,4.02,scattered clouds
127,La Carlota,PH,2021-12-09 05:51:08,10.4233,122.9208,299.14,87,100,6.49,light rain
128,Mogadishu,SO,2021-12-09 05:50:52,2.0371,45.3438,300.08,78,40,5.66,scattered clouds
129,Flinders,AU,2021-12-09 05:52:33,-34.5833,150.8552,294.75,93,60,2.41,broken clouds
130,Mora,CM,2021-12-09 05:52:34,11.0461,14.1401,292.59,37,56,2.07,broken clouds
131,Saskylakh,RU,2021-12-09 05:52:36,71.9167,114.0833,251.63,89,100,4.93,overcast clouds
132,Longyearbyen,SJ,2021-12-09 05:52:37,78.2186,15.6401,268.06,80,20,2.06,few clouds
133,Placido De Castro,BR,2021-12-09 05:52:38,-10.3353,-67.1856,296.51,91,100,0.7,overcast clouds
134,Agadir,MA,2021-12-09 05:52:42,30.4202,-9.5982,278.4,53,7,0.6,clear sky
135,Marawi,PH,2021-12-09 05:52:44,7.9986,124.2928,295.18,93,100,2.49,overcast clouds
136,Saint George,US,2021-12-09 05:50:33,37.1041,-113.5841,282.89,80,20,0.45,few clouds
137,Souillac,MU,2021-12-09 05:52:46,-20.5167,57.5167,302.24,65,40,5.14,scattered clouds
138,Buraydah,SA,2021-12-09 05:52:48,26.326,43.975,286.4,34,26,8.24,scattered clouds
139,Bereda,ES,2021-12-09 05:52:49,43.2686,-7.5406,284.49,100,100,3.72,overcast clouds
140,Yeniseysk,RU,2021-12-09 05:52:50,58.4497,92.1703,255.4,92,100,3.64,overcast clouds
141,Chapais,CA,2021-12-09 05:52:53,49.7834,-74.8492,256.03,97,100,1.46,light snow
142,Thompson,CA,2021-12-09 05:50:33,55.7435,-97.8558,253.24,77,90,2.57,light snow
143,Sechura,PE,2021-12-09 05:52:55,-5.5569,-80.8222,292.83,80,96,3.6,overcast clouds
144,Shache,CN,2021-12-09 05:52:56,38.4167,77.2406,285.26,16,20,4.54,few clouds
145,Coos Bay,US,2021-12-09 05:52:58,43.3665,-124.2179,279.26,97,90,1.54,overcast clouds
146,Champerico,GT,2021-12-09 05:52:59,14.3,-91.9167,299.28,76,88,1.47,overcast clouds
147,Mangaratiba,BR,2021-12-09 05:53:02,-22.9597,-44.0406,294.28,87,67,2.76,broken clouds
148,Aksu,CN,2021-12-09 05:53:04,41.1231,80.2644,276.15,29,19,0.5,few clouds
149,Portobelo,PA,2021-12-09 05:53:05,9.55,-79.65,299.12,87,20,5.71,few clouds
150,Altagracia De Orituco,VE,2021-12-09 05:53:06,9.8601,-66.3814,294.12,95,75,1.88,broken clouds
151,Sao Filipe,CV,2021-12-09 05:53:08,14.8961,-24.4956,297.23,67,93,5.42,overcast clouds
152,Pitimbu,BR,2021-12-09 05:53:09,-7.4706,-34.8086,298.48,78,19,4.7,few clouds
153,Christchurch,NZ,2021-12-09 05:52:05,-43.5333,172.6333,292.3,75,100,2.24,light rain
154,Lagoa,PT,2021-12-09 05:53:11,39.05,-27.9833,289.12,62,25,2.44,scattered clouds
155,Schela,RO,2021-12-09 05:53:12,45.5,27.8167,274.77,93,72,1.57,broken clouds
156,Torbay,CA,2021-12-09 05:53:14,47.6666,-52.7314,273.31,87,90,1.03,overcast clouds
157,Dzerzhinsk,RU,2021-12-09 05:53:16,56.2389,43.4631,272.05,92,90,3.0,light snow
158,Sitka,US,2021-12-09 05:53:17,57.0531,-135.33,275.66,79,99,4.24,light rain
159,Freeport,US,2021-12-09 05:50:37,40.6576,-73.5832,275.47,74,40,3.13,light rain
160,Ahipara,NZ,2021-12-09 05:53:20,-35.1667,173.1667,293.74,68,98,1.34,overcast clouds
161,Tura,IN,2021-12-09 05:53:21,25.5198,90.2201,299.09,41,0,0.95,clear sky
162,Ayan,RU,2021-12-09 05:53:22,56.45,138.1667,266.43,92,100,4.19,light snow
163,Laguna,US,2021-12-09 05:53:23,38.421,-121.4238,284.96,95,90,0.45,mist
164,Clyde River,CA,2021-12-09 05:49:43,70.4692,-68.5914,253.28,71,55,4.63,broken clouds
165,Artyom,AZ,2021-12-09 05:53:26,40.4723,50.333,283.23,84,11,7.56,few clouds
166,Holme,DK,2021-12-09 05:53:27,56.1138,10.1725,275.17,92,100,6.22,overcast clouds
167,Seoul,KR,2021-12-09 05:46:01,37.5683,126.9778,283.91,51,0,3.09,clear sky
168,Hobart,AU,2021-12-09 05:53:29,-42.8794,147.3294,290.99,69,90,0.89,overcast clouds
169,Tiksi,RU,2021-12-09 05:53:31,71.6872,128.8694,243.48,96,100,3.22,overcast clouds
170,Manzhouli,CN,2021-12-09 05:53:32,49.6,117.4333,268.82,63,100,6.85,overcast clouds
171,Yumen,CN,2021-12-09 05:53:33,40.2833,97.2,275.06,34,100,7.05,overcast clouds
172,Usolye,RU,2021-12-09 05:53:35,59.4268,56.6808,269.94,95,100,3.56,overcast clouds
173,Juegang,CN,2021-12-09 05:53:37,32.3174,121.1855,287.87,62,98,4.31,overcast clouds
174,Zaraza,VE,2021-12-09 05:53:38,9.3503,-65.3245,297.55,83,98,1.93,overcast clouds
175,Guatire,VE,2021-12-09 05:53:39,10.4762,-66.5427,296.43,97,58,0.37,broken clouds
176,Ostrovnoy,RU,2021-12-09 05:53:41,68.0531,39.5131,268.83,90,100,4.2,light snow
177,Kieta,PG,2021-12-09 05:53:43,-6.2167,155.6333,300.48,82,91,1.42,moderate rain
178,Kruisfontein,ZA,2021-12-09 05:53:45,-34.0033,24.7314,293.09,73,47,1.55,scattered clouds
179,Porto Novo,BJ,2021-12-09 05:53:46,6.4965,2.6036,299.05,87,8,1.82,clear sky
180,Leh,IN,2021-12-09 05:53:26,34.1667,77.5833,264.65,67,64,0.92,broken clouds
181,Teya,RU,2021-12-09 05:53:48,60.3778,92.6267,253.54,89,100,5.65,overcast clouds
182,Narsaq,GL,2021-12-09 05:53:51,60.9167,-46.05,263.75,80,73,1.93,broken clouds
183,Eucaliptus,BO,2021-12-09 05:53:52,-17.5833,-67.5167,282.09,76,94,3.01,overcast clouds
184,Cayenne,GF,2021-12-09 05:53:53,4.9333,-52.3333,298.2,90,90,0.0,overcast clouds
185,Payakumbuh,ID,2021-12-09 05:53:55,-0.2202,100.6308,299.33,85,98,1.06,overcast clouds
186,Mbandaka,CD,2021-12-09 05:53:56,0.0487,18.2603,296.91,80,47,0.59,scattered clouds
187,Paragominas,BR,2021-12-09 05:53:57,-2.9667,-47.4833,296.15,98,100,0.9,overcast clouds
188,Samarai,PG,2021-12-09 05:53:59,-10.6167,150.6667,302.26,76,100,6.7,overcast clouds
189,Nieuw Nickerie,SR,2021-12-09 05:54:00,5.95,-56.9833,297.83,90,94,3.51,overcast clouds
190,Hilo,US,2021-12-09 05:52:09,19.7297,-155.09,297.19,41,40,2.57,light rain
191,Saint-Pierre,RE,2021-12-09 05:54:02,-21.3393,55.4781,301.95,64,0,3.09,clear sky
192,Salalah,OM,2021-12-09 05:54:04,17.0151,54.0924,300.07,41,0,4.51,clear sky
193,Roebourne,AU,2021-12-09 05:54:05,-20.7833,117.1333,310.62,32,47,6.89,scattered clouds
194,Goderich,CA,2021-12-09 05:50:33,43.7501,-81.7165,272.54,59,93,3.6,overcast clouds
195,Urumqi,CN,2021-12-09 05:54:03,43.801,87.6005,270.68,93,75,3.0,light snow
196,Qaanaaq,GL,2021-12-09 05:54:09,77.484,-69.3632,258.83,70,99,2.26,overcast clouds
197,Peleduy,RU,2021-12-09 05:54:10,59.6289,112.7406,259.6,87,100,5.08,overcast clouds
198,Hambantota,LK,2021-12-09 05:54:12,6.1241,81.1185,302.34,74,20,4.63,few clouds
199,Kavaratti,IN,2021-12-09 05:54:13,10.5669,72.642,300.45,76,58,3.52,broken clouds
200,Vila Franca Do Campo,PT,2021-12-09 05:54:15,37.7167,-25.4333,288.26,72,100,0.28,overcast clouds
201,Constitucion,CL,2021-12-09 05:54:17,-35.3333,-72.4167,286.48,85,23,1.5,few clouds
202,Maracaibo,VE,2021-12-09 05:54:18,10.6317,-71.6406,298.12,76,51,2.74,broken clouds
203,Roald,NO,2021-12-09 05:54:19,62.5833,6.1333,277.23,52,40,7.72,scattered clouds
204,Saint-Francois,FR,2021-12-09 05:54:20,46.4154,3.9054,276.84,87,90,3.6,overcast clouds
205,Rivers,CA,2021-12-09 05:54:22,50.0308,-100.2403,264.68,98,98,1.52,overcast clouds
206,Acapulco,MX,2021-12-09 05:54:23,16.8634,-99.8901,298.56,84,30,1.21,scattered clouds
207,Ketchikan,US,2021-12-09 05:54:24,55.3422,-131.6461,274.04,82,100,2.05,overcast clouds
208,Chop,UA,2021-12-09 05:54:25,48.432,22.2055,269.62,78,69,1.84,broken clouds
209,Makakilo City,US,2021-12-09 05:54:27,21.3469,-158.0858,297.35,72,90,0.0,overcast clouds
210,Axim,GH,2021-12-09 05:54:28,4.8699,-2.2405,298.83,87,35,2.66,scattered clouds
211,Cabadiangan,PH,2021-12-09 05:54:29,9.7531,122.4739,299.15,88,100,8.35,light rain
212,Husavik,IS,2021-12-09 05:54:30,66.0449,-17.3389,264.1,88,100,4.76,overcast clouds
213,Merauke,ID,2021-12-09 05:54:32,-8.4667,140.3333,302.07,69,39,3.62,scattered clouds
214,Tanout,NE,2021-12-09 05:54:33,14.9709,8.8879,286.37,20,8,5.06,clear sky
215,Kavieng,PG,2021-12-09 05:54:34,-2.5744,150.7967,299.42,90,100,6.29,moderate rain
216,Mayo,US,2021-12-09 05:54:36,38.8876,-76.5119,276.45,63,6,2.24,clear sky
217,Paamiut,GL,2021-12-09 05:54:37,61.994,-49.6678,267.14,86,69,3.23,broken clouds
218,Whitehorse,CA,2021-12-09 05:50:33,60.7161,-135.0538,259.32,84,75,0.89,light snow
219,Yulara,AU,2021-12-09 05:51:22,-25.2406,130.9889,304.06,19,40,4.63,scattered clouds
220,Gizo,SB,2021-12-09 05:54:41,-8.103,156.8419,300.94,76,100,3.33,light rain
221,College,US,2021-12-09 05:54:43,64.8569,-147.8028,261.96,84,90,1.54,light snow
222,Kuzedeyevo,RU,2021-12-09 05:54:44,53.3308,87.2019,255.88,88,100,3.26,overcast clouds
223,Praia Da Vitoria,PT,2021-12-09 05:54:45,38.7333,-27.0667,288.01,88,75,2.18,broken clouds
224,Maloy,NO,2021-12-09 05:54:46,61.9353,5.1136,277.44,57,30,5.81,scattered clouds
225,Port Lincoln,AU,2021-12-09 05:54:48,-34.7333,135.8667,290.03,56,48,8.31,scattered clouds
226,Chapleau,CA,2021-12-09 05:50:36,47.8405,-83.4034,251.25,100,97,0.8,overcast clouds
227,Srednekolymsk,RU,2021-12-09 05:54:50,67.45,153.6833,239.86,97,100,1.84,overcast clouds
228,Qeshm,IR,2021-12-09 05:54:51,26.9581,56.2719,294.08,33,52,2.17,broken clouds
229,Barauli,IN,2021-12-09 05:54:53,26.4,84.5833,299.08,29,2,2.76,clear sky
230,Mongo,TD,2021-12-09 05:54:54,12.1844,18.693,296.45,21,2,2.7,clear sky
231,Kikwit,CD,2021-12-09 05:54:56,-5.041,18.8162,294.81,98,99,0.8,light rain
232,Margate,GB,2021-12-09 05:51:16,51.3813,1.3862,279.21,78,97,0.89,overcast clouds
233,Bakel,SN,2021-12-09 05:54:58,14.905,-12.4568,295.77,15,76,4.62,broken clouds
234,Dwarka,IN,2021-12-09 05:55:00,22.2394,68.9678,298.22,45,0,6.11,clear sky
235,Dawei,MM,2021-12-09 05:55:01,14.0833,98.2,305.03,42,15,3.99,few clouds
236,Maraa,BR,2021-12-09 05:55:02,-1.8333,-65.3667,295.73,99,100,0.5,overcast clouds
237,Kaduna,NG,2021-12-09 05:55:04,10.5222,7.4383,289.51,20,87,4.06,overcast clouds
238,Faanui,PF,2021-12-09 05:55:05,-16.4833,-151.75,300.5,70,99,4.76,overcast clouds
239,Vila Velha,BR,2021-12-09 05:55:06,-20.3297,-40.2925,293.12,95,90,0.45,overcast clouds
240,Baruun-Urt,MN,2021-12-09 05:55:07,46.6806,113.2792,269.35,60,100,5.51,overcast clouds
241,Las Margaritas,MX,2021-12-09 05:55:09,16.3167,-91.9833,287.98,96,86,2.02,overcast clouds
242,Tiarei,PF,2021-12-09 05:55:10,-17.5333,-149.3333,300.16,66,70,4.21,broken clouds
243,Harlingen,US,2021-12-09 05:55:11,26.1906,-97.6961,296.59,97,20,0.0,mist
